,Week,Name,Position,Year,Game,Fantasy Points,PassingYards,PassingTDs,Ints,Rush Attempts,Rush Yards,Fumbles,RushTDs,Receptions,Receiving Yards,Receiving TDs
386,,Matthew Stafford,QB,2022,ATL@LA,24.00,272,3,2,0,0,0,0,,,
387,,Derek Carr,QB,2022,ARI@LV,22.00,252,2,0,1,9,0,0,,,
388,,Trevor Lawrence,QB,2022,IND@JAX,22.00,235,2,0,3,11,0,0,,,
389,,Patrick Mahomes,QB,2022,LAC@KC,21.00,235,2,0,2,-1,0,0,,,
390,,Aaron Rodgers,QB,2022,CHI@GB,21.00,234,2,0,5,10,1,0,,,
391,,Jimmy Garoppolo,QB,2022,SEA@SF,18.00,154,1,0,4,5,0,1,,,
392,,Jacoby Brissett,QB,2022,NYJ@CLE,17.00,229,1,1,6,43,0,0,,,
393,,Joe Burrow,QB,2022,CIN@DAL,17.00,199,1,0,4,26,0,0,,,
394,,Marcus Mariota,QB,2022,ATL@LA,17.00,196,2,2,6,16,1,0,,,
395,,Daniel Jones,QB,2022,CAR@NYG,15.00,176,1,0,10,21,0,0,,,
396,,Cooper Rush,QB,2022,CIN@DAL,15.00,235,1,0,1,2,0,0,,,
397,,Mac Jones,QB,2022,NE@PIT,14.00,252,1,1,7,6,0,0,,,
398,,Baker Mayfield,QB,2022,CAR@NYG,14.00,145,1,0,6,35,0,0,,,
399,,Tom Brady,QB,2022,TB@NO,12.00,190,1,0,3,-2,1,0,,,
400,,Mitchell Trubisky,QB,2022,NE@PIT,12.00,168,1,1,1,7,0,0,,,
401,,Russell Wilson,QB,2022,HOU@DEN,12.00,219,1,1,2,3,0,0,,,
402,,Kirk Cousins,QB,2022,MIN@PHI,10.00,221,1,3,2,20,0,0,,,
403,,Jameis Winston,QB,2022,TB@NO,9.00,236,1,3,1,2,0,0,,,
404,,Justin Fields,QB,2022,CHI@GB,8.00,70,0,1,8,20,0,1,,,
405,,Davis Mills,QB,2022,HOU@DEN,7.00,177,0,0,2,1,0,0,,,
406,,Geno Smith,QB,2022,SEA@SF,5.00,197,0,1,2,2,0,0,,,
407,,Trey Lance,QB,2022,SEA@SF,2.00,30,0,0,3,13,0,0,,,
408,,Jeff Driskel,QB,2022,HOU@DEN,1.00,0,0,0,1,10,0,0,,,
409,,Matt Ryan,QB,2022,IND@JAX,1.00,195,0,3,0,0,0,0,,,
410,,Case Keenum,QB,2022,TEN@BUF,0.00,0,0,0,3,2,0,0,,,
411,,Ryan Tannehill,QB,2022,TEN@BUF,0.00,117,0,2,1,2,0,0,,,
412,,Malik Willis,QB,2022,TEN@BUF,0.00,6,0,0,4,16,1,0,,,
413,,Lamar Jackson,QB,2022,BAL@NE,46.00,218,4,1,11,107,0,1,,,
414,,Jalen Hurts,QB,2022,PHI@WAS,33.00,340,3,0,9,20,0,0,,,
415,,Josh Allen,QB,2022,BUF@MIA,31.00,400,2,0,8,47,1,0,,,
416,,Trevor Lawrence,QB,2022,JAX@LAC,30.00,262,3,0,3,7,0,0,,,
417,,Joe Burrow,QB,2022,CIN@NYJ,29.00,275,3,0,5,0,0,0,,,
418,,Derek Carr,QB,2022,LV@TEN,23.00,303,2,1,2,17,0,0,,,
419,,Geno Smith,QB,2022,ATL@SEA,23.00,325,2,1,2,-1,0,0,,,
420,,Kirk Cousins,QB,2022,DET@MIN,22.00,260,2,0,1,-1,0,0,,,
421,,Jacoby Brissett,QB,2022,PIT@CLE,21.00,220,2,0,3,11,0,0,,,
422,,Aaron Rodgers,QB,2022,GB@TB,20.00,255,2,1,1,-1,0,0,,,
423,,Ryan Tannehill,QB,2022,LV@TEN,20.00,264,1,1,4,2,0,1,,,
424,,Matt Ryan,QB,2022,KC@IND,19.00,222,2,0,3,4,1,0,,,
425,,Patrick Mahomes,QB,2022,KC@IND,18.00,262,1,1,4,26,0,0,,,
426,,Marcus Mariota,QB,2022,ATL@SEA,18.00,229,1,1,7,4,1,1,,,
427,,Tom Brady,QB,2022,GB@TB,16.00,271,1,0,1,-1,0,0,,,
428,,Jameis Winston,QB,2022,NO@CAR,16.00,353,1,2,2,5,0,0,,,
429,,Jared Goff,QB,2022,DET@MIN,15.00,277,1,1,2,8,0,0,,,
430,,Mac Jones,QB,2022,BAL@NE,15.00,321,0,3,5,31,0,1,,,
431,,Justin Herbert,QB,2022,JAX@LAC,14.00,297,1,1,1,7,1,0,,,
432,,Cooper Rush,QB,2022,DAL@NYG,14.00,215,1,0,2,-2,0,0,,,
433,,Mitchell Trubisky,QB,2022,PIT@CLE,14.00,207,0,0,2,7,0,1,,,
434,,Tua Tagovailoa,QB,2022,BUF@MIA,13.00,186,1,0,1,0,0,0,,,
435,,Daniel Jones,QB,2022,DAL@NYG,12.00,196,0,1,9,79,0,0,,,
436,,Baker Mayfield,QB,2022,NO@CAR,12.00,170,1,0,1,-1,0,0,,,
437,,Kyler Murray,QB,2022,LA@ARI,12.00,314,0,0,2,8,0,0,,,
438,,Jimmy Garoppolo,QB,2022,SF@DEN,11.00,211,1,1,1,0,1,0,,,
439,,Davis Mills,QB,2022,HOU@CHI,11.00,245,1,2,0,0,0,0,,,
440,,Matthew Stafford,QB,2022,LA@ARI,9.00,249,0,0,3,2,0,0,,,
441,,Carson Wentz,QB,2022,PHI@WAS,9.00,211,0,0,3,22,1,0,,,
442,,Russell Wilson,QB,2022,SF@DEN,8.00,184,0,0,6,17,0,0,,,
443,,Joe Flacco,QB,2022,CIN@NYJ,5.00,285,0,2,0,0,2,0,,,
444,,Justin Fields,QB,2022,HOU@CHI,4.00,106,0,2,8,47,0,0,,,
445,,C.J. Beathard,QB,2022,JAX@LAC,0.00,0,0,0,1,-1,0,0,,,
446,,Teddy Bridgewater,QB,2022,BUF@MIA,0.00,0,0,0,0,0,0,0,,,
447,,Jared Goff,QB,2022,SEA@DET,41.00,378,4,1,1,1,0,0,,,
448,,Geno Smith,QB,2022,SEA@DET,34.00,320,2,0,7,49,0,1,,,
449,,Tom Brady,QB,2022,KC@TB,32.00,385,3,0,0,0,1,0,,,
450,,Russell Wilson,QB,2022,DEN@LV,30.00,237,2,0,4,29,0,1,,,
451,,Patrick Mahomes,QB,2022,KC@TB,28.00,249,3,1,4,34,0,0,,,
452,,Kyler Murray,QB,2022,ARI@CAR,26.00,207,2,1,12,26,0,1,,,
453,,Josh Allen,QB,2022,BUF@BAL,25.00,213,1,1,11,70,0,1,,,
454,,Justin Herbert,QB,2022,LAC@HOU,25.00,340,2,0,4,-5,0,0,,,
455,,Joe Burrow,QB,2022,MIA@CIN,23.00,287,2,0,5,6,0,0,,,
456,,Matt Ryan,QB,2022,TEN@IND,23.00,356,2,1,2,-4,1,0,,,
457,,Daniel Jones,QB,2022,CHI@NYG,20.00,71,0,0,6,68,0,2,,,
