Id,Name,Position,Year,School,RASScore,AllTimeScore
3570,Abram Smith,RB,2022,Baylor,6.62,6.69
3571,Roger McCreary,CB,2022,Auburn,5.47,5.7
3572,Jalen Pitre,SS,2022,Baylor,8.45,8.51
3573,Mario Goodrich,CB,2022,Clemson,4.98,5.05
3574,Marcus Jones,CB,2022,Houston,0,0
3575,Yusuf Corker,FS,2022,Kentucky,6.45,6.64
3576,Cam Taylor-Britt,CB,2022,Nebraska,8.31,8.35
3577,Tariq Castro-Fields,CB,2022,Penn State,9.74,9.74
3578,Jaquan Brisker,SS,2022,Penn State,9.11,9.21
3579,Tariq Woolen,CB,2022,UTSA,9.7,9.72
3580,Sterling Weatherford,SS,2022,Miami OH,8.88,9.01
3581,John Ridgeway,DT,2022,Arkansas,4.74,4.8
3582,Travis Jones,DT,2022,Connecticut,9.41,9.41
3583,Logan Hall,DT,2022,Houston,9.38,9.39
3584,Josh Paschal,DE,2022,Kentucky,9.7,9.72
3585,Dominique Robinson,DE,2022,Miami OH,9.74,9.75
3586,Arnold Ebiketie,DE,2022,Penn State,8.91,8.92
3587,Micheal Clemons,DE,2022,Texas A&M,8.2,8.24
3588,DeAngelo Malone,DE,2022,Western Kentucky,9.06,9.06
3589,Jeremiah Hall,FB,2022,Oklahoma,2.54,2.65
3590,Damone Clark,LB,2022,Louisiana State,9.87,9.88
3591,Mike Rose,LB,2022,Iowa State,9.07,9.1
3592,Jeremiah Moon,LB,2022,Florida,9.22,9.21
3593,Terrel Bernard,LB,2022,Baylor,8.89,8.94
3594,D'Marco Jackson,LB,2022,Appalachian State,8.29,8.36
3595,JoJo Domann,LB,2022,Nebraska,7.62,7.69
3596,Jeremiah Gemmel,LB,2022,North Carolina,0,0
3597,Jesse Luketa,DE,2022,Penn State,5.66,5.69
3598,Damarri Mathis,CB,2022,Pittsburgh,9.71,9.69
3599,Tycen Anderson,FS,2022,Toledo,9.49,9.56
3600,Connor Heyward,FB,2022,Michigan State,4.56,4.62
3601,Aaron Hansford,LB,2022,Texas A&M,7.68,7.82
3602,Devin Lloyd,LB,2022,Utah,9.58,9.57
3603,Chad Muma,LB,2022,Wyoming,9.77,9.78
3604,Cal Adomitis,LS,2022,Pittsburgh,8,7.82
3605,Zion Johnson,OG,2022,Boston College,9.75,9.76
3606,Bernhard Raimann,OT,2022,Central Michigan,9.87,9.87
3607,Darian Kinnard,OG,2022,Kentucky,5.27,5.38
3608,Max Mitchell,OT,2022,Louisiana,5.52,5.53
3609,Ed Ingram,OG,2022,Louisiana State,7.38,7.36
3610,Andrew Stueber,OG,2022,Michigan,5.07,5.19
3611,Matt Waletzko,OT,2022,North Dakota,9.96,9.96
3612,Trevor Penning,OT,2022,Northern Iowa,9.95,9.95
3613,Marquis Hayes,OG,2022,Oklahoma,6.37,6.42
3614,Braxton Jones,OT,2022,Southern Utah,8.42,8.45
3615,Spencer Burford,OG,2022,UTSA,8.23,8.29
3616,Abraham Lucas,OT,2022,Washington State,9.73,9.73
3617,Cole Strange,OG,2022,Chattanooga,9.95,9.96
3618,D'Vonte Price,RB,2022,Florida International,7.76,7.77
3619,Dameon Pierce,RB,2022,Florida,7.09,7.14
3620,Hassan Haskins,RB,2022,Michigan,0,0
3621,Isaiah Likely,TE,2022,Coastal Carolina,4.87,4.94
3622,Trey McBride,TE,2022,Colorado State,8.1,8.15
3623,Charlie Kolar,TE,2022,Iowa State,9.1,9.11
3624,Jeremy Ruckert,TE,2022,Ohio State,0,0
3625,Grant Calcaterra,TE,2022,Southern Methodist,8.15,8.21
3626,Jake Ferguson,TE,2022,Wisconsin,6.78,6.86
3627,Khalil Shakir,WR,2022,Boise State,8.31,8.36
3628,Romeo Doubs,WR,2022,Nevada,0,0
3629,Jahan Dotson,WR,2022,Penn State,6.33,6.35
3630,Bo Melton,WR,2022,Rutgers,9.23,9.26
3631,Dontario Drummond,WR,2022,Mississippi,5.69,5.79
3632,Chase Garbers,QB,2022,California,6.98,6.94
3633,Isaiah Spiller,RB,2022,Texas A&M,5.68,5.77
3634,Carson Strong,QB,2022,Nevada,0,0
3635,Zaire Jones,FS,2022,Youngstown State,0.51,0.58
3636,Gabe Bautz,OG,2022,Northwest Missouri State,7.34,7.37
3637,Cole Fotheringham,TE,2022,Utah,3.59,3.64
3638,Kevin Marks,RB,2022,Buffalo,4.89,5
3639,Jelani Woods,TE,2022,Virginia,10,9.99
3640,Cameron Jurgens,OC,2022,Nebraska,9.94,9.93
3641,Devon Williams,WR,2022,Oregon,5.6,5.69
3642,Brodarious Hamm,OT,2022,Auburn,2.72,2.79
3643,Shaun Jolly,CB,2022,Appalachian State,5.97,6.12
3644,Brandon Smith,LB,2022,Penn State,9.97,9.97
3645,Charles Cross,OT,2022,Mississippi State,7.56,7.55
3646,Mykael Wright,CB,2022,Oregon,2.97,3.2
3647,Jalen Wydermyer,TE,2022,Texas A&M,0.98,0.97
3648,Myron Cunningham,OT,2022,Arkansas,2.09,2.21
3649,Luke Tenuta,OT,2022,Virginia Tech,4.72,4.76
3650,Nolan Cockrill,DT,2022,Army,6.47,6.54
3651,Zyon McCollum,CB,2022,Sam Houston State,10,10
3652,Tanner Conner,WR,2022,Idaho State,8.86,8.92
3653,Ali Fayad,DE,2022,Western Michigan,4.4,4.44
3654,Baylon Spector,LB,2022,Clemson,9.14,9.18
3655,Ryan Stonehouse,PK,2022,Colorado State,0,0
3656,Azende Ray,WR,2022,Georgia Tech,0.38,0.41
3657,Gerrit Prince,TE,2022,Alabama Birmingham,4.82,4.87
3658,Tayland Humphrey,DT,2022,Louisiana,0.95,1.01
3659,Tre Walker,LB,2022,Idaho,1.78,1.86
3660,Josh Johnson,WR,2022,Tulsa,3.66,3.73
3661,Tyree Johnson,DE,2022,Texas A&M,3.46,3.53
3662,Kerby Joseph,FS,2022,Illinois,0,0
3663,Thomas Booker,DT,2022,Stanford,9.88,9.89
3664,Nate Landman,LB,2022,Colorado,6.41,6.53
3665,Percy Butler,SS,2022,Louisiana,7.31,7.48
3666,Brad Hawkins,SS,2022,Michigan,7.65,7.8
3667,Decobie Durant,CB,2022,South Carolina State,5.1,5.24
3668,Damarion Williams,CB,2022,Houston,6.18,6.35
3669,Jaivon Heiligh,WR,2022,Coastal Carolina,3.89,4.02
3670,Trestan Ebner,RB,2022,Baylor,4.77,4.87
3671,David Anenih,DE,2022,Houston,7.56,7.59
3672,Ja'Sir Taylor,CB,2022,Wake Forest,8.29,8.34
3673,Matt Henningsen,DT,2022,Wisconsin,9.33,9.35
3674,Austin Deculus,OT,2022,Louisiana State,8.22,8.18
3675,Vederian Lowe,OT,2022,Illinois,5.69,5.7
3676,Neil Farrell Jr.,DT,2022,Louisiana State,0.86,0.93
3677,Dustin Crum,QB,2022,Kent State,7.17,7.21
3678,Reed Blankenship,FS,2022,Middle Tennessee State,8.02,8.17
3679,Darien Butler,LB,2022,Arizona State,0,0
3680,Matthew Butler,DT,2022,Tennessee,7.27,7.35
3681,Tommy Heatherly,PK,2022,Florida International,0,0
3682,Nephi Sewell,LB,2022,Utah,7.04,7.09
3683,Jeffrey Gunter,DE,2022,Coastal Carolina,9.75,9.78
3684,Nick Zakelj,OG,2022,Fordham,9.85,9.86
3685,Dylan Parham,OG,2022,Memphis,8.8,8.84
3686,Chris Paul,OG,2022,Tulsa,9.47,9.48
3687,Luke Goedeke,OG,2022,Central Michigan,0,0
3688,Jordan Stout,PK,2022,Penn State,0,0
3689,Tre Turner,WR,2022,Virginia Tech,3.46,3.53
3690,D'Eriq King,QB,2022,Miami,5.43,5.39
3691,Brandon Sebastian,CB,2022,Boston College,3,3.29
3692,Nolan Turner,SS,2022,Clemson,7.71,7.93
3693,Diego Fagot,LB,2022,Navy,6.13,6.24
3694,Kenyon Green,OG,2022,Texas A&M,5.96,6.03
3695,Kyler Gordon,CB,2022,Washington,9.69,9.66
3696,Obinna Eze,OT,2022,Texas Christian,5.33,5.33
3697,Dawson Deaton,OC,2022,Texas Tech,9.68,9.69
3698,Emeka Emezie,WR,2022,North Carolina State,3.22,3.33
3699,Markquese Bell,FS,2022,Florida A&M,8.95,8.99
3700,Zander Horvath,RB,2022,Purdue,9.83,9.83
3701,Kyler McMichael,CB,2022,North Carolina,5.07,5.26
3702,Chris Steele,CB,2022,Southern California,7.54,7.6
3703,Damion Daniels,DT,2022,Nebraska,1.91,2.06
3704,Noah Elliss,DT,2022,Idaho,0,0
3705,Savion Williams,DT,2022,Florida A&M,2.76,2.85
3706,Blaise Andries,OG,2022,Minnesota,9.81,9.83
3707,Clay Markoff,FB,2022,Arizona,1.27,1.34
3708,Kaden Davis,WR,2022,Northwest Missouri State,8.35,8.36
3709,Andre Miller,WR,2022,Maine,9.6,9.63
3710,Scott Nelson,SS,2022,Wisconsin,9.7,9.73
3711,Greg Johnson,CB,2022,Southern California,1.14,1.31
3712,Coby Tippett,SS,2022,Rhode Island,3.69,3.92
3713,Jon Alexander,SS,2022,Charlotte,3.84,4.06
3714,Dallis Flowers,CB,2022,Pittsburg State,9.54,9.54
3715,Tray Eafford,WR,2022,Troy,5.07,5.17
3716,Drew Singleton,LB,2022,Rutgers,4.59,4.73
3717,Isaiah Gay,LB,2022,Illinois,4.87,5
3718,DeCalon Brooks,LB,2022,Florida State,2.8,2.86
3719,Rashie Hodge Jr.,DE,2022,Arizona,3.25,3.18
3720,Bernard Buhake,DE,2022,St. Ambrose,2.42,2.47
3721,Mike Tverdov,DE,2022,Rutgers,9.02,9.02
3722,Kailon Davis,DE,2022,Arkansas Pine-Bluff,3.16,3.16
3723,Leddie Brown,RB,2022,West Virginia,6.21,6.33
3724,Raheem Blackshear,RB,2022,Virginia Tech,5.96,6.05
3725,Ricky Person Jr.,RB,2022,North Carolina State,4.79,4.89
3726,Jordan Mason,RB,2022,Georgia Tech,7.12,7.19
3727,Teagan Quitoriano,TE,2022,Oregon State,4.74,4.81
3728,Austin Allen,TE,2022,Nebraska,8.06,8.1
3729,Jordan Tucker,OT,2022,North Carolina,1.62,1.75
3730,Tyler Johnson,DE,2022,Arizona State,5.58,5.61
3731,TJ Pledger,RB,2022,Utah,4.07,4.17
3732,McKenzie Milton,QB,2022,Florida State,1.78,1.69
3733,Anthony Russo,QB,2022,Michigan State,3.88,3.82
3734,Anthony Brown,QB,2022,Oregon,7.49,7.51
3735,Skylar Thompson,QB,2022,Kansas State,7.12,7.07
3736,Avery Roberts,LB,2022,Oregon State,3.31,3.38
3737,Britain Covey,WR,2022,Utah,5.87,5.86
3738,Felix Harper,QB,2022,Alcorn State,6.01,5.98
3739,Donovan Slates,LB,2022,Tennessee,0.54,0.54
3740,Max Chizmar,LB,2022,Penn State,2.73,2.83
3741,Patrick O'Brien,QB,2022,Washington,3.65,3.57
3742,Carson Wells,LB,2022,Colorado,7.27,7.33
3743,Tyler Badie,RB,2022,Missouri,6.39,6.48
3744,Ellis Brooks,LB,2022,Penn State,5.54,5.64
3745,James Empey,OC,2022,Brigham Young,2.58,2.64
3746,Ko Kieft,TE,2022,Minnesota,3.64,3.66
3747,Justus Harris,CB,2022,Minnesota,4.25,4.49
3748,Drew Estrada,WR,2022,Baylor,4.88,4.94
3749,Kayode Rufai,DE,2022,Idaho,0.77,0.82
3750,Andrew Parchment,WR,2022,Florida State,4.25,4.32
3751,Mike Harley,WR,2022,Miami,6.61,6.69
3752,Braylon Sanders,WR,2022,Mississippi,7.65,7.73
3753,Keke Chism,WR,2022,Missouri,5.44,5.51
3754,Tay Martin,WR,2022,Oklahoma State,6.48,6.56
3755,Jordan Happie,FS,2022,Oregon,0.34,0.38
3756,Anthony Pandy,LB,2022,Arizona,0.3,0.31
3757,Ra'shaun Henry,WR,2022,Virginia,9.41,9.43
3758,Kendric Pryor,WR,2022,Wisconsin,5.52,5.59
3759,Trae Barry,TE,2022,Boston College,0.96,1.01
3760,Chase Allen,TE,2022,Iowa State,7.3,7.35
3761,TJ Rayam,DT,2022,Boston College,2.01,2.11
3762,Justin Rigg,TE,2022,Kentucky,6.51,6.66
3763,Nick Muse,TE,2022,South Carolina,8.78,8.76
3764,Cade Brewer,TE,2022,Texas,2.7,2.71
3765,Brandon Chapman,TE,2022,Wake Forest,6.95,7.05
3766,Kellen Diesch,OT,2022,Arizona State,9.75,9.75
3767,Ben Petrula,OT,2022,Boston College,6.21,6.2
3768,Jean Delance,OG,2022,Florida,8.25,8.31
3769,Devin Cochran,OT,2022,Georgia Tech,9.16,9.13
3770,Jarrid Williams,OT,2022,Miami,7.61,7.57
3771,Leevel Tatum III,DT,2022,Arizona,3.98,4.06
3772,Tyrone Riley,OT,2022,North Carolina State,3.77,3.78
3773,George Moore,OT,2022,Oregon,5.36,5.38
3774,Airon Servais,OT,2022,Syracuse,4.86,4.88
3775,Liam Ryan,OT,2022,Washington State,0,0
3776,Josh McCauley,OC,2022,Arizona,6.75,6.8
3777,Markell Utsey,DT,2022,Arkansas,4.65,4.73
3778,Xavier Newman-Johnson,OG,2022,Baylor,5.29,5.41
3779,Jack Wohlabaugh,OC,2022,Duke,0,0
3780,Stewart Reese,OG,2022,Florida,3.18,3.26
3781,Christian Bobak,SS,2022,Illinois,0.61,0.7
3782,Thomas Reid III,WR,2022,Arizona,8.07,8.14
3783,Luke Fortner,OG,2022,Kentucky,7.27,7.27
3784,Matt Allen,OC,2022,Michigan State,0.26,0.33
3785,Thayer Munford,OG,2022,Ohio State,6.73,6.77
3786,Josh Sills,OG,2022,Oklahoma State,7.91,7.95
3787,Derek Kerstetter,OT,2022,Texas,7.8,7.75
3788,Eyioma Uwazurike,DT,2022,Iowa State,6.58,6.67
3789,Jonathan Ford,DT,2022,Miami,3.55,3.63
3790,Akial Byers,DT,2022,Missouri,0.3,0.36
3791,Kobie Whiteside,DT,2022,Missouri,3.49,3.6
3792,Ben Stille,DT,2022,Nebraska,9.33,9.35
3793,LaRon Stokes,DE,2022,Oklahoma,5.22,5.31
3794,Julius Turner,DT,2022,Rutgers,6.72,6.78
3795,Jabari Ellis,DT,2022,South Carolina,7.57,7.59
3796,Cody Roscoe,DT,2022,Syracuse,8.99,8.95
3797,Josh Blackwell,CB,2022,Duke,8.23,8.27
3798,McKinley Williams,DT,2022,Syracuse,3.46,3.64
3799,Jayden Peevy,DT,2022,Texas A&M,4.28,4.33
3800,Mandy Alonso,DE,2022,Virginia,0,0
3801,Cameron Goode,LB,2022,California,9.46,9.49
3802,Aaron Sterling,DT,2022,South Carolina,4.99,5.11
3803,Zach VanValkenburg,DE,2022,Iowa,6.02,6.11
3804,Andre Anthony,DE,2022,Louisiana State,5.91,5.96
3805,JaQuain Blakely,DT,2022,Tennessee,6.33,6.38
3806,Zach McCloud,LB,2022,Miami,6.43,6.52
3807,Jacub Panasiuk,DE,2022,Michigan State,3.48,3.61
3808,Sam Williams,DE,2022,Mississippi,9.72,9.74
3809,Tariqious Tisdale,DE,2022,Mississippi,7.08,7.08
3810,Chris Turner,DE,2022,Missouri,5.48,5.54
3811,Tomon Fox,LB,2022,North Carolina,0,0
3812,Anthony Budd,FS,2022,Monmouth,3.84,4
3813,Dalyn Wade-Perry,DT,2022,Stanford,0.78,0.81
3814,Kingsley Jonathan,DE,2022,Syracuse,9.04,9.05
3815,Ryan Bowman,DE,2022,Washington,0,0
3816,Noah Burks,LB,2022,Wisconsin,4.72,4.83
3817,Isaiah Graham-Mobley,LB,2022,Boston College,6.21,6.29
3818,Kuony Deng,LB,2022,California,4.94,5.05
3819,James Skalski,LB,2022,Clemson,6.53,6.62
3820,Jake Hummel,LB,2022,Iowa State,9.49,9.51
3821,Quandre Mosley,CB,2022,Kentucky,6.44,6.6
3822,Lakia Henry,LB,2022,Mississippi,1.21,1.27
3823,Blaze Alldredge,LB,2022,Missouri,6.89,6.98
3824,Devin Harper,LB,2022,Oklahoma State,9.51,9.53
3825,Malcolm Rodriguez,LB,2022,Oklahoma State,9.48,9.48
3826,Olakunle Fatukasi,LB,2022,Rutgers,7.53,7.62
3827,Tyshon Fogg,LB,2022,Rutgers,0,0
3828,Jacob Morgenstern,LB,2022,Texas Tech,6.92,7.04
3829,Eric Monroe,SS,2022,Texas Tech,0.65,0.73
3830,Luke Masterson,LB,2022,Wake Forest,7.34,7.42
3831,Chase Lucas,CB,2022,Arizona State,8.89,8.92
3832,Jack Jones,CB,2022,Arizona State,6.77,6.91
3833,Raleigh Texada,CB,2022,Baylor,8.2,8.28
3834,Jaden Salley,OG,2022,Central Arkansas,0.97,1.11
3835,Meiko Dotson,CB,2022,Florida State,4.13,4.32
3836,Tony Adams,CB,2022,Illinois,9.76,9.76
3837,Matt Hankins,CB,2022,Iowa,1.19,1.35
3838,Duron Lowe,CB,2022,Liberty,4.31,4.53
3839,Jaylon Jones,CB,2022,Mississippi,9.16,9.16
3840,Allie Green IV,CB,2022,Missouri,2.52,2.73
3841,Christian Holmes,CB,2022,Oklahoma State,9.11,9.17
3842,J.W. Jones,DE,2022,Central Arkansas,2.7,2.8
3843,Kenneth George Jr.,CB,2022,Tennessee,6.31,6.43
3844,Theo Jackson,SS,2022,Tennessee,7.66,7.78
3845,Talolo Limu-Jones,WR,2022,Eastern Washington,6.03,6.12
3846,DaMarcus Fields,CB,2022,Texas Tech,6.17,6.37
3847,Nick Grant,CB,2022,Virginia,4.93,5.17
3848,Evan Fields,SS,2022,Arizona State,0,0
3849,Mike Palmer,FS,2022,Boston College,2.29,2.41
3850,Tariq Carpenter,LB,2022,Georgia Tech,8.92,8.98
3851,Amari Carter,SS,2022,Miami,5,5.3
3852,Deontai Williams,FS,2022,Nebraska,6.55,6.69
3853,Brenden Schooler,WR,2022,Texas,9.78,9.79
3854,Jahmir Johnson,OG,2022,Texas A&M,0,0
3855,McClane Mannix,WR,2022,Texas Tech,5.28,5.38
3856,Qwuantrezz Knight,CB,2022,UCLA,3.74,4.03
3857,De'Vante Cross,FS,2022,Virginia,0,0
3858,Joey Blount,FS,2022,Virginia,9.61,9.65
3859,Alonzo Addae,FS,2022,West Virginia,2.46,2.51
3860,Sean Mahone,SS,2022,West Virginia,4.23,4.57
3861,Antwon Kincade,SS,2022,Western Kentucky,1.65,1.78
3862,Parker White,PK,2022,South Carolina,0,0
3863,Blake Hayes,PK,2022,Illinois,0,0
3864,Marquel Dismuke,SS,2022,Nebraska,0.37,0.44
3865,Jaylan Foster,FS,2022,South Carolina,0.49,0.54
3866,Lujuan Winningham,WR,2022,Central Arkansas,4.77,4.82
3867,Sam Camargo,TE,2022,Central Arkansas,4.36,4.37
3868,Brock Purdy,QB,2022,Iowa State,4.51,4.57
3869,D.J. Davidson,DT,2022,Arizona State,4.15,4.27
3870,Eric Barriere,QB,2022,Eastern Washington,5,4.99
3871,Tyrese Dedmon,SS,2022,Idaho,4.54,4.8
3872,Jack Coan,QB,2022,Notre Dame,7.69,7.69
3873,Zerrick Cooper,QB,2022,Jacksonville State,1.72,1.71
3874,Vavae Malepeia,RB,2022,Southern California,0,0
3875,Shermari Jones,RB,2022,Coastal Carolina,6.75,6.81
3876,Ty Chandler,RB,2022,North Carolina,6.35,6.42
3877,Chris Oladokun,QB,2022,South Dakota State,7.34,7.3
3878,Ronnie Rivers,RB,2022,Fresno State,5.95,6.07
3879,Erik Ezukanma,WR,2022,Texas Tech,7.03,7.1
3880,Sincere McCormick,RB,2022,UTSA,3.94,4.07
3881,Pierre Strong Jr.,RB,2022,South Dakota State,9.34,9.36
3882,Kana'i Mauga,LB,2022,Southern California,6.1,6.22
3883,Taysir Mack,WR,2022,Pittsburgh,7.68,7.78
3884,Trent McDuffie,CB,2022,Washington,9.47,9.46
3885,Deven Thompkins,WR,2022,Utah State,7.17,7.19
3886,Cameron Thomas,DE,2022,San Diego State,8.68,8.73
3887,Marquan McCall,DT,2022,Kentucky,1.04,1.09
3888,Cyrus Habibi-Likio,RB,2022,Boise State,1.87,1.98
3889,Garrett Wilson,WR,2022,Ohio State,7.77,7.82
3890,Chris Olave,WR,2022,Ohio State,8.64,8.64
3891,Nicholas Petit-Frere,OT,2022,Ohio State,6.28,6.3
3892,Tyler Allgeier,RB,2022,Brigham Young,7.41,7.49
3893,Matt Araiza,PK,2022,San Diego State,9.49,9.41
3894,Kalia Davis,DT,2022,Central Florida,0,0
3895,Quez Jackson,LB,2022,Georgia Tech,0.18,0.17
3896,Smoke Monday,FS,2022,Auburn,6.48,6.62
3897,Brittain Brown,RB,2022,UCLA,4.75,4.91
3898,Elvin De La Rosa,FS,2022,Fayetteville State,0.73,0.84
3899,Josh Wilkes,WR,2022,Arkansas Pine-Bluff,2.01,2.04
3900,Kwannah Kollie,WR,2022,Delaware State,3.19,3.3
3901,Trey Gross,WR,2022,Delaware State,4.08,4.23
3902,Ezra Gray,RB,2022,Alabama State,1.88,1.97
3903,Gabe Brkic,PK,2022,Oklahoma,0,0
3904,Kennedy Brooks,RB,2022,Oklahoma,5.98,6.12
3905,Kevin Harris,RB,2022,South Carolina,7.13,7.2
3906,Zonovan Knight,RB,2022,North Carolina State,5.81,5.89
3907,Sam Howell,QB,2022,North Carolina,0,0
3908,Ikem Ekwonu,OT,2022,North Carolina State,8.49,8.46
3909,Octavius Evans,WR,2022,Boise State,3.57,3.68
3910,Tyrese Robinson,OG,2022,Oklahoma,3.04,3.1
3911,Kevin Austin,WR,2022,Notre Dame,9.94,9.94
3912,Makai Polk,WR,2022,Mississippi State,4.88,4.98
3913,Alec Anderson,OT,2022,UCLA,1.03,1.18
3914,Cameron Dicker,PK,2022,Texas,0,0
3915,James Houston IV,LB,2022,Jackson State,7.93,7.98
3916,Kevin Jarvis,OG,2022,Michigan State,6.64,6.69
3917,Quentin Lake,SS,2022,UCLA,0,0
3918,Tre Sterling,FS,2022,Oklahoma State,4.59,4.7
3919,Delarrin Turner-Yell,SS,2022,Oklahoma,7.47,7.57
3920,Myron Tagovailoa-Amosa,DE,2022,Notre Dame,4.06,4.08
3921,Jerrion Ealy,RB,2022,Mississippi,6.13,6.21
3922,Verone McKinley,FS,2022,Oregon,2.41,2.59
3923,Drake Jackson,DE,2022,Southern California,8.62,8.68
3924,Dohnovan West,OG,2022,Arizona State,7,7.02
3925,Qwynnterrio Cole,SS,2022,Louisville,4.65,4.95
3926,Rasheed Walker,OT,2022,Penn State,0,0
3927,Ahmad Gardner,CB,2022,Cincinnati,0,0
3928,David Ojabo,DE,2022,Michigan,9.39,9.41
3929,Dee Anderson,WR,2022,Alabama A&M,8.17,8.25
3930,DeAndre Torrey,RB,2022,North Texas,6.02,6.1
3931,Brandon Barlow,DE,2022,Boston College,8.08,8.1
3932,Dennis Merritt,RB,2022,Eastern Washington,5.69,5.74
3933,Josh Black,DT,2022,Syracuse,0,0
3934,Cade Mays,OG,2022,Tennessee,7.54,7.61
3935,Faion Hicks,CB,2022,Wisconsin,7.84,7.96
3936,Marcus McKethan,OG,2022,North Carolina,7.88,7.96
3937,Montaric Brown,CB,2022,Arkansas,4.23,4.45
3938,Jack Koerner,SS,2022,Iowa,9.18,9.28
3939,Jaquarii Roberson,WR,2022,Wake Forest,9.01,9.04
3940,Savon Scarver,WR,2022,Utah State,7.44,7.5
3941,Kalon Barnes,CB,2022,Baylor,6.31,6.4
3942,Tae Daley,FS,2022,Virginia Tech,2.42,2.56
3943,DaMarcus Mitchell,DE,2022,Purdue,5.48,5.62
3944,Kevin Brown,RB,2022,Incarnate Word,8.72,8.76
3945,Tobias Oliver,CB,2022,Georgia Tech,7.11,7.24
3946,Breece Hall,RB,2022,Iowa State,9.96,9.97
3947,Jerome Ford,RB,2022,Cincinnati,6.92,7
3948,Kaleb Eleby,QB,2022,Western Michigan,1.69,1.62
3949,Leo Chenal,LB,2022,Wisconsin,9.99,9.99
3950,Master Teague III,RB,2022,Ohio State,9.84,9.85
3951,Jalen Nailor,WR,2022,Michigan State,8.09,8.15
3952,Chris Hinton,DT,2022,Michigan,5.52,5.67
3953,Nick Cross,FS,2022,Maryland,9.87,9.88
3954,Derek Stingley Jr.,CB,2022,Louisiana State,8.99,9.05
3955,Daxton Hill,FS,2022,Michigan,9.04,9.05
3956,Kyle Philips,WR,2022,UCLA,8.31,8.33
3957,Tyquan Thornton,WR,2022,Baylor,8.54,8.59
3958,Wan'Dale Robinson,WR,2022,Kentucky,7.36,7.42
3959,Ja'Quan McMillian,CB,2022,East Carolina,3.58,3.8
3960,Vincent Gray,CB,2022,Michigan,7.16,7.27
3961,Bubba Bolden,SS,2022,Miami,8.1,8.2
3962,Bryant Koback,RB,2022,Toledo,9.73,9.75
3963,Jack Sanborn,LB,2022,Wisconsin,7.35,7.44
3964,Kolby Harvell-Peel,SS,2022,Oklahoma State,6.55,6.79
3965,Andrew Booth Jr.,CB,2022,Clemson,0,0
3966,Kaiir Elam,CB,2022,Florida,8.64,8.69
3967,Sean Rhyan,OT,2022,UCLA,8.16,8.1
3968,Evan Neal,OT,2022,Alabama,0,0
3969,Jameson Williams,WR,2022,Alabama,0,0
3970,Tyler Linderbaum,OC,2022,Iowa,8.8,8.83
3971,Nakobe Dean,LB,2022,Georgia,0,0
3972,Travon Walker,DE,2022,Georgia,9.99,9.99
3973,John Metchie III,WR,2022,Alabama,0,0
3974,George Pickens,WR,2022,Georgia,9.35,9.36
3975,Chasen Hines,OG,2022,Louisiana State,6.56,6.6
3976,Josh Jobe,CB,2022,Alabama,0,0
3977,Dare Rosenthal,OT,2022,Kentucky,7.65,7.61
3978,Brandon Peters,QB,2022,Illinois,8.91,8.92
3979,Julius Chestnut,RB,2022,Sacred Heart,0,0
3980,Stephen Carr,RB,2022,Indiana,1.71,1.79
3981,Charles Williams,RB,2022,UNLV,3.73,3.83
3982,Joey Kenny,FB,2022,Rhode Island,0,0
3983,Richard Dames,SS,2022,Florida International,1.54,1.69
3984,Travell Harris,WR,2022,Washington State,3.14,3.18
3985,Shigeya Masunami,WR,2022,International,0,0
3986,Jalen Virgil,WR,2022,Appalachian State,9.16,9.22
3987,Keith Corbin,WR,2022,Jackson State,5.19,5.3
3988,Sean Dykes,TE,2022,Memphis,4.95,4.98
3989,Andrew Ogletree,TE,2022,Youngstown State,9.34,9.38
3990,Thomas Odukoya,TE,2022,Eastern Michigan,4.13,4.05
3991,Peyton Hendershot,TE,2022,Indiana,8.38,8.42
3992,Jaxson Turner,LB,2022,North Dakota,4.96,5.05
3993,Alex Mollette,OC,2022,Marshall,8.48,8.55
3994,Devontay Love-Taylor,OG,2022,Florida State,0.46,0.53
3995,Aaron Hackett,FB,2022,Kent State,1.1,1.19
3996,Tristen Taylor,OT,2022,Eastern Washington,9.52,9.51
3997,Vincent McConnell,OG,2022,Cincinnati,8.32,8.38
3998,AJ Arcuri,OT,2022,Michigan State,6.98,6.96
3999,Scott Patchan,DE,2022,Colorado State,9.11,9.09
4000,Aaron Mosby,DE,2022,Fresno State,3.93,3.98
4001,Demetrius Taylor,DT,2022,Appalachian State,6.24,6.36
4002,Antonio Valentino,DT,2022,Florida,4.73,4.84
4003,Ralfs Rusins,DT,2022,Liberty,0.56,0.57
4004,Owen Carney,DE,2022,Illinois,4.34,4.38
4005,Jahad Woods,SS,2022,Washington State,4.14,4.4
4006,Storey Jackson,LB,2022,Liberty,6.29,6.4
4007,Silas Kelly,LB,2022,Coastal Carolina,8.31,8.38
4008,Teddy Gallagher,LB,2022,Coastal Carolina,1.12,1.24
4009,Tre Bugg,CB,2022,Air Force,5.06,5.25
4010,Andrew Boston,WR,2022,Eastern Washington,7.65,7.74
4011,Justin Chase,OT,2022,East Carolina,4.34,4.36
4012,Tyree Robinson,FS,2022,East Tennessee,1.32,1.42
4013,D.J. Ford,SS,2022,East Carolina,3.47,3.71
4014,Hayden Howerton,OG,2022,Southern Methodist,8.05,8.1
4015,Jacobi Francis,CB,2022,Memphis,6.68,6.88
4016,Derrion Rakestraw,FS,2022,Tulane,5.24,5.38
