Id,Name,Position,Year,School,RASScore,AllTimeScore
1595,Matt Gay,PK,2019,Utah,0,0
1596,Donnell Greene,OT,2019,Minnesota,0,0
1597,Ethan Greenidge,OG,2019,Villanova,0,0
1598,Jace Sternberger,TE,2019,Texas A&M,5.17,5.29
1599,Jack Fox,PK,2019,Rice,8.37,8.18
1600,Joshua Miles,OT,2019,Morgan State,5.38,5.28
1601,Jaden Huff,RB,2019,Northern Illinois,0.3,0.46
1602,Tyler Roemer,OT,2019,San Diego State,8.05,7.84
1603,Maalik Todd,WR,2019,Northern Illinois,0.11,0.22
1604,Jerome Washington,TE,2019,Rutgers,3.28,3.29
1605,Damarius Brinson,CB,2019,Northern Illinois,0,0
1606,Dino Boyd,OG,2019,Cincinnati,3.76,4.03
1607,Garrett Campbell,OT,2019,Cincinnati,3.72,3.7
1608,Keith Minor,OG,2019,Cincinnati,0.05,0.06
1609,Kyle Trout,OT,2019,Cincinnati,7.03,6.86
1610,Kylen Binn,DE,2019,Alabama Birmingham,2.2,2.4
1611,Rishard Cook,OG,2019,Alabama Birmingham,1.94,2.21
1612,Kailon Carter,WR,2019,Alabama Birmingham,2.26,2.34
1613,Tre Crawford,LB,2019,Alabama Birmingham,7.52,7.76
1614,MarSean Diggs,SS,2019,Alabama Birmingham,0.42,0.61
1615,Bentley Easley,DT,2019,Alabama Birmingham,0,0.01
1616,Malique Johnson,OG,2019,Alabama Birmingham,2.86,3.13
1617,Craig Kanyangarara,LB,2019,Alabama Birmingham,0.1,0.15
1618,Stacy Keely,DE,2019,Alabama Birmingham,5.33,5.29
1619,Donnie Lee,TE,2019,Alabama Birmingham,1.83,1.92
1620,Collin Lisa,WR,2019,Alabama Birmingham,1.04,1.25
1621,Logan Scott,TE,2019,Alabama Birmingham,0,0
1622,James Noble,RB,2019,Alabama Birmingham,2.46,2.61
1623,Justice Powers,OT,2019,Alabama Birmingham,3.5,3.41
1624,Quindarius Thagard,DT,2019,Alabama Birmingham,4,4.31
1625,Broderick Thomas,SS,2019,Alabama Birmingham,1.16,1.42
1626,Xavier Ubosi,WR,2019,Alabama Birmingham,5.8,5.87
1627,D.A. Williams,CB,2019,Alabama Birmingham,0.95,1.13
1628,Chris Woolbright,LB,2019,Alabama Birmingham,0.87,1.13
1629,Casey Bednarski,PK,2019,Minnesota State,6.94,7.01
1630,Kabion Ento,WR,2019,Colorado,7.29,7.55
1631,Kyle Evans,RB,2019,Colorado,7.01,7.15
1632,Chris Mulumba,DE,2019,Colorado,0.5,0.66
1633,Xavier Harper,WR,2019,Kennesaw State,2.12,2.36
1634,Desmond Cain,WR,2019,North Dakota State,0.54,0.7
1635,Antonio Mallard,DT,2019,Georgia Tech,0,0
