Id,Player,Position,Year,School,RAS Score,All Time Score
12190,Jonathan Langa,SS,2015,Saint Marys,0.1,0.53
12191,Jordan Hicks,LB,2015,Texas,9.35,9.49
12192,Jordan Leslie,WR,2015,Brigham Young,9.24,9.49
12193,Jordan Phillips,DT,2015,Oklahoma,6.02,6.81
12194,Jordan Richards,SS,2015,Stanford,2.54,4.23
12195,Jordan Taylor,WR,2015,Rice,7.96,8.36
12196,Jordan Yantz,QB,2015,Manitoba,5.13,5.02
12197,Josh Furman,SS,2015,Michigan,9.27,9.67
12198,Josh Harper,WR,2015,Fresno State,1.3,1.85
12199,Josh Keyes,LB,2015,Boston College,6.46,7.21
12200,Josh Robinson,RB,2015,Mississippi State,1.1,1.51
12201,Josh Shaw,CB,2015,Southern California,9.68,9.82
12202,Joshua Stangby,WR,2015,Ottawa,6.8,7.53
12203,Josue Matias,OG,2015,Florida State,0.36,0.84
12204,Jude Adjei-Barimah,FS,2015,Bowling Green,7.92,8.32
12205,Julian Howsare,DE,2015,Clarion,4.54,5.42
12206,Julian Wilson,CB,2015,Oklahoma,7.06,7.82
12207,Junior Sylvestre,LB,2015,Toledo,4.9,5.63
12208,Justin Coleman,CB,2015,Tennessee,9.08,9.12
12209,Justin Cox,CB,2015,Mississippi State,9.54,9.63
12210,Justin Currie,SS,2015,Western Michigan,9.45,9.74
12211,Justin Hamilton,DT,2015,Louisiana,4.38,5.54
12212,Justin Hardy,WR,2015,East Carolina,4.87,5.62
12213,Justin March-Lillard,LB,2015,Akron,4.83,5.68
12214,Kaelin Clay,WR,2015,Utah,2.18,2.92
12215,Kahlen Branning,CB,2015,Regina,5.21,5.81
12216,Kaleb Eulls,DT,2015,Mississippi State,5.28,6.26
12217,Kaleb Johnson,OG,2015,Rutgers,6.5,6.86
12218,Karlos Williams,RB,2015,Florida State,6.41,6.78
12219,Kasen Williams,WR,2015,Washington,4.57,5.26
12220,Keith Mumphery,WR,2015,Michigan State,4.36,5.44
12221,Kendall Lamm,OT,2015,Appalachian State,6.02,5.96
12222,Kennard Backman,TE,2015,Alabama Birmingham,5.97,6.22
12223,Kenny Bell,WR,2015,Nebraska,9.2,9.33
12224,Kenny Cook,WR,2015,Gardner-Webb,4.13,4.97
12225,Kenny Hilliard,RB,2015,Louisiana State,0.91,1.42
12226,Kevin Johnson,CB,2015,Wake Forest,9.16,9.25
12227,Kevin Snyder,LB,2015,Rutgers,9.17,9.44
12228,Kevin White,CB,2015,Texas Christian,4.61,5.4
12229,Kevin White,WR,2015,West Virginia,9.72,9.83
12230,Khari Lee,TE,2015,Bowie State,4.39,4.39
12231,Kienan LaFrance,RB,2015,Manitoba,2.97,3.26
12232,Kristjan Sokoli,DT,2015,Buffalo,10,9.99
12233,Kurtis Drummond,FS,2015,Michigan State,5.07,6.11
12234,Kwame Adjei,SS,2015,Mount Allison,0.97,2.22
12235,Kwon Alexander,LB,2015,Louisiana State,8.44,8.88
12236,Kyle Emanuel,DE,2015,North Dakota State,8.3,8.58
12237,Kyle Prater,WR,2015,Northwestern,4.59,5.25
12238,Kyle Roberts,OT,2015,Nevada,6.59,6.37
12239,Kyshoen Jarrett,SS,2015,Virginia Tech,3.22,4.9
12240,L.T. Walton,DT,2015,Central Michigan,4,5.01
12241,Ladarius Gunter,CB,2015,Miami,1.42,1.85
12242,La'El Collins,OG,2015,Louisiana State,7.1,7.54
12243,Laken Tomlinson,OG,2015,Duke,4.5,5.43
12244,Landon Collins,SS,2015,Alabama,6.49,7.59
12245,Larry Pinkard,WR,2015,Old Dominion,7.48,8.17
12246,Laurence Gibson,OT,2015,Virginia Tech,9.56,9.54
12247,Lavon Hooks,DT,2015,Mississippi,2.27,3.34
12248,Lemar Durant,WR,2015,Simon Fraser,6.04,6.34
12249,Leon Orr,DT,2015,Florida,2.02,2.98
12250,Leonard Williams,DT,2015,Southern California,8.96,9.19
12251,Leterrius Walton,DT,2015,Central Michigan,4,5.01
12252,Levi Norwood,WR,2015,Baylor,4.84,5.54
12253,Lorenzo Doss,CB,2015,Tulane,2.72,3.4
12254,Lorenzo Mauldin,LB,2015,Louisville,3.59,4.19
12255,Louis Mensah,LB,2015,Fort Lewis,1.87,2.79
12256,Louis Trinca-Pasat,DT,2015,Iowa,7.94,8.05
12257,Lucky Whitehead,WR,2015,Florida Atlantic,8.05,8.48
12258,Lynden Trail,DE,2015,Norfolk State,5.65,6.11
12259,Mack Brown,RB,2015,Florida,5.02,5.69
12260,Malcolm Brown,RB,2015,Texas,6.84,7.26
12261,Malcolm Bunche,OT,2015,UCLA,7.79,7.65
12262,Malcolm Johnson,FB,2015,Mississippi State,5.15,5.93
12263,Malcom Brown,DT,2015,Texas,5.99,6.75
12264,Manasseh Garner,FB,2015,Pittsburgh,7.39,7.63
12265,Marcus Beaurem,WR,2015,Tiffin,5.23,5.99
12266,Marcus Hardison,DT,2015,Arizona State,8.82,9.01
12267,Marcus Mariota,QB,2015,Oregon,9.94,9.97
12268,Marcus Murphy,RB,2015,Missouri,0.24,0.54
12269,Marcus Peters,CB,2015,Washington,7.21,7.63
12270,Marcus Rush,LB,2015,Michigan State,9.38,9.43
12271,Mario Alford,WR,2015,West Virginia,5.4,5.75
