Id,Player,Position,Year,School,RAS Score,All Time Score
5120,Lyle West,DB,1999,San Jose State,0,0
5121,Madre Hill,RB,1999,Arkansas,8.02,6.61
5122,Malcolm Johnson,WR,1999,Notre Dame,0,0
5123,Marc Megna,LB,1999,Richmond,0,0
5124,Marcus Ray,SS,1999,Michigan,6.12,5.47
5125,Marcus Spriggs,DT,1999,Troy,5.52,4.07
5126,Marcus Washington,FS,1999,Colorado,7.56,5.71
5127,Marek Rubin,OT,1999,Yale,5.65,3.25
5128,Mark Garcia,QB,1999,Ohio State,9.59,8.09
5129,Mark Word,LB,1999,Jacksonville State,6.03,4.01
5130,Marlon Barnes,RB,1999,Colorado,8.43,7.03
5131,Marquis Gibson,LB,1999,Missouri,6.94,4.73
5132,Marquis Smith,SS,1999,California,9.75,9.72
5133,MarTay Jenkins,WR,1999,Nebraska-Omaha,9.3,7.05
5134,Martin Gramatica,PK,1999,Kansas State,0,0
5135,Marty Booker,WR,1999,Louisiana Monroe,9.12,7.12
5136,Marvin Love,CB,1999,Kentucky,7.98,5.49
5137,Matt Graham,SS,1999,Indiana State,9.34,9.19
5138,Matt Hughes,LB,1999,Iowa,6.9,4.62
5139,Matt Stinchcomb,OT,1999,Georgia,9.77,8.67
5140,Melvin Bradley,DE,1999,Arkansas,8.39,7.06
5141,Michael Basnight,RB,1999,North Carolina A&T,8.14,6.19
5142,Michael Bishop,QB,1999,Kansas State,5.05,2.71
5143,Michael Vaughn,WR,1999,Alabama,6.76,4.15
5144,Mike Cloud,RB,1999,Boston College,9.14,8.06
5145,Mike Cook,QB,1999,William & Mary,7.91,5.51
5146,Mike Grieb,TE,1999,UCLA,6.68,3.34
5147,Mike Lucky,TE,1999,Arizona,7.04,3.79
5148,Mike McKenzie,FS,1999,Memphis,8.17,5.91
5149,Mike Newell,OC,1999,Colorado State,8.38,6.49
5150,Mike Peterson,LB,1999,Florida,9.67,9.32
5151,Mike Pringley,DE,1999,North Carolina,6.06,4.34
5152,Mike Rosenthal,OT,1999,Notre Dame,0,0
5153,Mike Rucker,DE,1999,Nebraska,8.58,6.47
5154,Mike Stanec,LB,1999,Youngstown State,9.84,9.23
5155,Mitchell Freedman,FS,1999,Arizona,8.02,6.96
5156,Mondell Corbett,OG,1999,East Carolina,4.7,4.46
5157,Montae Reagor,DE,1999,Texas Tech,8.5,6.82
5158,Myron Terry,FS,1999,Colorado State,7.94,5.48
5159,Na Brown,WR,1999,North Carolina,6.56,4.08
5160,Nate Stimson,LB,1999,Georgia Tech,0,0
5161,Nick Luchey,FB,1999,Miami,0,0
5162,Nikia Codie,FS,1999,Baylor,9.24,7.03
5163,Noel Scarlett,DE,1999,Langston,0,0
5164,O.J. Childress,LB,1999,Clemson,0,0
5165,Octavious Bishop,OT,1999,Texas,1.94,1.65
5166,Olandis Gary,RB,1999,Georgia,9.08,7.55
5167,Olrick Johnson,LB,1999,Florida A&M,3.37,2.96
5168,Orlando Ruff,LB,1999,Furman,4.44,3.36
5169,Oscar Davenport,QB,1999,North Carolina,5.31,2.36
5170,Parc Williams,LB,1999,Minnesota,6.18,4.28
5171,Paris Johnson,SS,1999,Miami,5.54,4.91
5172,Patrick Kerney,DE,1999,Virginia,8.8,6.84
5173,Patterson Owens,DE,1999,Houston,9.31,7.28
5174,Paul Miranda,CB,1999,Central Florida,7.9,5.63
5175,Paul Spicer,DE,1999,Saginaw Valley State,0,0
5176,Peerless Price,WR,1999,Tennessee,8.06,5.06
5177,Pene Talamaivao,DT,1999,Utah,1.97,1.86
5178,Peppi Zellner,DE,1999,Fort Valley State,9.45,7.99
5179,Pernell Davis,DE,1999,Alabama Birmingham,0,0
5180,Phil Glover,LB,1999,Utah,8.88,8.13
5181,Phillip Armour,OC,1999,North Texas,6.23,5.7
5182,Pierson Prioleau,FS,1999,Virginia Tech,9.16,7.69
5183,Quincy Jackson,WR,1999,Alabama,4.86,2.2
5184,Rahim Abdullah,LB,1999,Clemson,7.77,5.52
5185,Randy Thomas,OG,1999,Mississippi State,9.91,9.75
5186,Rashard Cook,FS,1999,Southern California,3.28,2.1
5187,Reggie Kelly,TE,1999,Mississippi State,8.89,6.62
5188,Reggie McGrew,DT,1999,Florida,9.42,8.81
5189,Reggie Nelson,OG,1999,McNeese State,0,0
5190,Rex Tucker,OT,1999,Texas A&M,9.61,8.18
5191,Rich Coady,SS,1999,Texas A&M,9.42,9.03
5192,Rick Nord,OG,1999,Louisville,4.84,4.69
5193,Ricky Thompson,FS,1999,Oklahoma State,4.27,2.8
5194,Ricky Williams,RB,1999,Texas,9.73,9.48
5195,Rob Konrad,FB,1999,Syracuse,9.91,9.68
5196,Robert Daniel,DE,1999,Northwestern State,4.27,2.67
5197,Robert Hunt,OG,1999,Virginia,5.3,4.57
5198,Robert Newkirk,DT,1999,Michigan State,3.75,2.99
5199,Rod Coleman,DE,1999,East Carolina,4.01,2.64
5200,Roderick Coleman,DE,1999,East Carolina,0,0
5201,Rodney Williams,PK,1999,Georgia Tech,0,0
5202,Rondel Menendez,WR,1999,Eastern Kentucky,9.54,8.63
5203,Ronnie Bradley,RB,1999,Georgia,8.79,7.26
5204,Ronnie Powell,RB,1999,Northwestern State,8.82,7.91
5205,Rosevelt Colvin,DE,1999,Purdue,9.01,7.66
5206,Rufus French,TE,1999,Mississippi,4.73,2.32
5207,Russell Davis,DT,1999,North Carolina,8.65,6.94
5208,Ryan Hale,DT,1999,Arkansas,6.99,5.86
5209,Ryan Young,OT,1999,Kansas State,3.45,2.59
5210,Sam Sword,LB,1999,Michigan,0.63,1.26
5211,Scott Covington,QB,1999,Miami,8.72,7.03
5212,Scott Curry,OG,1999,Montana,0,0
5213,Scott Dreisbach,QB,1999,Michigan,9.8,8.67
5214,Scott Kiernan,OG,1999,Syracuse,1.87,2.09
5215,Scott Shields,SS,1999,Weber State,10,9.94
5216,Sean Bennett,RB,1999,Northwestern,0,0
5217,Sean Morey,WR,1999,Brown,0,0
5218,Sedrick Irvin,RB,1999,Michigan State,9.44,8.28
5219,Shaun King,QB,1999,Tulane,8.93,7.87
5220,Shawn Bryson,FB,1999,Tennessee,9.44,8.58
5221,Shawn Foreman,WR,1999,West Virginia,1.1,0.76
5222,Sheldon Jackson,TE,1999,Nebraska,4.91,2
5223,Siaha Burley,WR,1999,Central Florida,6.82,5.18
5224,Sirr Parker,RB,1999,Texas A&M,9.38,9
5225,Solomon Page,OT,1999,West Virginia,7.97,5.6
5226,Sori Kanu,FS,1999,Michigan State,4.05,2.57
5227,Stacey Mack,FB,1999,Temple,8.32,6.74
5228,Steve Heiden,TE,1999,San Diego State,9.96,9.56
5229,Steve Johnson,DB,1999,Tennessee,0,0
5230,Steve Konopka,DT,1999,C.W. Post,6.8,5.12
5231,Sulecio Sanford,WR,1999,Middle Tennessee State,0,0
5232,Tai Streets,WR,1999,Michigan,9.98,9.53
5233,Talance Sawyer,DE,1999,UNLV,6.75,4.55
5234,Ted White,QB,1999,Howard,4.85,2.31
5235,Terry Houzah,LB,1999,Mississippi Valley State,6.52,4.71
5236,Terry Jackson,FB,1999,Florida,8.22,7.15
5237,Thomas Burke,DE,1999,Wisconsin,7.92,5.75
5238,Thomas Seih,RB,1999,Texas Southern,5.83,3.74
5239,Tim Alexander,WR,1999,Oregon State,0,0
5240,Tim Beauchamp,DE,1999,Florida,4.64,3.12
5241,Tim Couch,QB,1999,Kentucky,7.4,5.13
5242,Todd Bandhaur,QB,1999,Iowa State,2.45,1.29
5243,Todd Frohbieter,OT,1999,Arkansas State,8.39,6.08
5244,Todd McClure,OC,1999,Louisiana State,7.31,5.44
5245,Tom Burke,LB,1999,Wisconsin,0,0
5246,Tom Schau,OC,1999,Illinois,9.54,8.45
5247,Tony Booth,DB,1999,James Madison,0,0
5248,Tony Bryant,DE,1999,Florida State,6.35,4.47
5249,Tony Coats,OG,1999,Washington,9.04,8.41
5250,Tony DAmato,LB,1999,Utah State,4.67,3.05
5251,Tony George,SS,1999,Florida,6.61,5.33
5252,Tony Small,WR,1999,Georgia,5.22,3.18
5253,Torry Holt,WR,1999,North Carolina State,9.76,7.94
5254,Travis McGriff,WR,1999,Florida,7.5,4.74
5255,Troy Edwards,WR,1999,Louisiana Tech,7.14,4.52
5256,Troy Smith,WR,1999,East Carolina,5.96,2.81
5257,Ty Talton,CB,1999,Northern Iowa,9.48,8.11
5258,Tyree Talton,DB,1999,Northern Iowa,0,0
5259,Tyrone Bell,DB,1999,North Alabama,0,0
5260,Tyrone Hopson,OG,1999,Eastern Kentucky,7.26,6.66
5261,Tywan Mitchell,WR,1999,Minnesota State,2.3,1.58
5262,Ulysses Moore,OG,1999,Liberty,4.2,4.19
5263,Wali Rainer,LB,1999,Virginia,4.58,3.67
5264,Wane McGarity,WR,1999,Texas,6.7,3.96
5265,Warrick Holdman,LB,1999,Texas A&M,9.38,8.3
5266,Wilbert Brown,OG,1999,Houston,0.82,1.23
5267,Willie Cohens,DE,1999,Florida,4.82,3.37
5268,Willie Jones,OT,1999,Grambling State,7.84,5.94
5269,Yusef Scott,OG,1999,Arizona,0.14,0.31
5270,Yusuf Scott,OG,1999,Arizona,0,0
5271,Zach Piller,OT,1999,Florida,8.74,6.77
5272,Matt Bryant,PK,1999,Baylor,0,0
5273,Brian Moorman,PK,1999,Pittsburg State,0,0
5274,Mike Schneck,LS,1999,Wisconsin,0,0
5275,Chris Hanson,PK,1999,Marshall,0,0
5276,Aaron Fields,DE,2000,Troy,7.65,5.95
5277,Aaron Humphrey,DE,2000,Texas,4.33,3.23
5278,Aaron Shea,TE,2000,Michigan,9.67,9.07
5279,Adalius Thomas,LB,2000,Southern Mississippi,9.92,9.82
5280,Adam Davis,OG,2000,Oklahoma State,0.5,0.79
5281,Adrian Klemm,OT,2000,Hawaii,0,0
5282,Ahmed Plummer,DB,2000,Ohio State,0,0
5283,Al Jackson,OG,2000,Louisiana State,0,0
5284,Al Lucas,DT,2000,Troy,8.83,8.24
5285,Alfonso Boone,DT,2000,Mt. San Antonio JC,0,0
5286,Alvin McKinley,DT,2000,Mississippi State,7.01,5.72
5287,Andre ONeal,LB,2000,Marshall,6.31,5.11
5288,Andrew Kline,OG,2000,San Diego State,5,5
5289,Andy Vincent,OG,2000,Texas A&M,9.04,8.34
5290,Anthony Becht,TE,2000,West Virginia,10,9.98
5291,Anthony Lucas,WR,2000,Arkansas,9.29,6.85
5292,Anthony Malbrough,CB,2000,Texas Tech,8.83,7.04
5293,Anthony Midget,DB,2000,Virginia Tech,0,0
5294,Anthony White,RB,2000,Kentucky,6.44,5.57
5295,Antonio Wilson,LB,2000,Texas A&M-Commerce,8.83,8.83
5296,Antwan Harris,CB,2000,Virginia,9.65,9.13
5297,Aric Morris,SS,2000,Michigan State,0,0
5298,Arturo Freeman,FS,2000,South Carolina,7.57,5.84
5299,Ashley Cooper,SS,2000,Mississippi State,5.16,4.24
5300,Austin Wheatley,TE,2000,Iowa,9.83,9.55
5301,Avion Black,WR,2000,Tennessee State,0,0
5302,Barrett Green,LB,2000,West Virginia,9.17,8.52
5303,Bashir Yamini,WR,2000,Iowa,9.64,8.31
5304,Ben Kelly,CB,2000,Colorado,7.6,5.59
5305,Bill Burke,QB,2000,Michigan State,4.86,2.21
5306,Bobbie Williams,OG,2000,Arkansas,8.08,7.68
5307,Bobby Myers,SS,2000,Wisconsin,9.14,8.78
5308,Bobby Williams,OT,2000,Arkansas,7.71,5.92
5309,Brad Bedell,OT,2000,Colorado,8.9,7.11
5310,Brad Meester,OC,2000,Northern Iowa,9.7,8.93
5311,Brad St. Louis,TE,2000,Southwest Missouri State,0,0
5312,Brandon Jennings,FS,2000,Texas A&M,9.79,8.53
5313,Brandon Short,LB,2000,Penn State,0,0
5314,Brian Gray,CB,2000,Brigham Young,4.13,3.27
5315,Brian Jennings,TE,2000,Arizona State,0,0
5316,Brian Urlacher,LB,2000,New Mexico,10,9.91
5317,Brian Young,DT,2000,Texas-El Paso,9.36,8.81
5318,Bubba Franks,TE,2000,Miami,0,0
5319,Byron Frisch,DE,2000,Brigham Young,9.9,9.58
5320,Carlos Nuno,TE,2000,Brigham Young,4.14,2.78
5321,Casey Crawford,TE,2000,Virginia,0,0
5322,Casey Tisdale,LB,2000,New Mexico,0,0
5323,Cedric Pittman,LB,2000,Nevada,4.85,3.37
5324,Cedric Woodard,DT,2000,Texas,4.34,3.83
5325,Chad Clifton,OT,2000,Tennessee,9.76,9.14
5326,Chad Morton,RB,2000,Southern California,8.08,6.94
5327,Chad Pennington,QB,2000,Marshall,9.91,9.08
5328,Charles Lee,WR,2000,Central Florida,8.68,6.6
5329,Chase Raynock,OT,2000,Montana,2.1,1.08
5330,Chris Cole,WR,2000,Texas A&M,9.94,9.74
5331,Chris Coleman,WR,2000,North Carolina State,8.7,7.46
5332,Chris Combs,DE,2000,Duke,5.5,4.28
5333,Chris Hovan,DT,2000,Boston College,9.75,9.4
5334,Chris McIntosh,OT,2000,Wisconsin,0,0
5335,Chris Redman,QB,2000,Louisville,0.47,0.25
5336,Chris Samuels,OT,2000,Alabama,0,0
5337,Chrys Chukwuma,RB,2000,Arkansas,9.64,9.13
5338,Clark Haggans,LB,2000,Colorado State,6.97,5.27
5339,Clifton Black,DB,2000,Southwest Texas State,0,0
5340,Cooper Carlisle,OG,2000,Florida,9.21,8.33
5341,Corey Atkins,LB,2000,South Carolina,4.66,3.84
5342,Corey Moore,LB,2000,Virginia Tech,7.22,6.21
5343,Corey Simon,DT,2000,Florida State,0,0
5344,Cornelius Griffin,DT,2000,Alabama,9.89,9.48
5345,Cosey Coleman,OG,2000,Tennessee,5.33,5.11
5346,Courtney Brown,DE,2000,Penn State,0,0
5347,Curtis Keaton,RB,2000,James Madison,9.92,9.93
5348,D.J. Cooper,DT,2000,Arkansas,5.94,5.64
5349,Damen Wheeler,CB,2000,Colorado,4.03,1.98
5350,Damion McIntosh,OT,2000,Kansas State,5.61,3.66
5351,Damon Wheeler,CB,2000,Colorado,4.03,1.98
5352,Dan Kendra,FB,2000,Florida State,6.7,6.28
5353,DAndre Hardeman,FB,2000,Texas A&M,3.21,2.87
5354,Danny Clark,LB,2000,Illinois,7.08,5.46
5355,Danny Farmer,WR,2000,UCLA,0,0
5356,Dante Hall,RB,2000,Texas A&M,9.42,9.01
5357,Darnell Alford,OG,2000,Boston College,1.29,1.85
5358,Darrell Jackson,WR,2000,Florida,0,0
5359,Darren Howard,DE,2000,Kansas State,5.16,4.14
5360,Darrick Vaughn,CB,2000,Texas State,9.33,7.98
5361,Darwin Walker,DT,2000,Tennessee,0,0
5362,DaShon Polk,LB,2000,Arizona,4.75,3.24
5363,Dave Stachelski,TE,2000,Boise State,9.71,9.16
5364,David Barrett,CB,2000,Arkansas,9.55,8.61
5365,David Byrd,CB,2000,Syracuse,8.24,6.36
5366,David Gibson,DB,2000,Southern California,0,0
5367,David Macklin,CB,2000,Penn State,8.72,6.9
5368,David Nugent,DT,2000,Purdue,0,0
5369,Delbert Cowsette,DT,2000,Maryland,0,0
5370,Deltha O'Neal,DB,2000,California,0,0
5371,Demario Brown,RB,2000,Utah State,2.99,2.4
5372,Dennis Northcutt,WR,2000,Arizona,9.52,8.47
5373,Deon Dyer,FB,2000,North Carolina,0.18,0.24
5374,Deon Grant,SS,2000,Tennessee,0,0
5375,Derrick Foster,RB,2000,Texas A&M-Kingsville,9.12,8.61
5376,Desmond Kitchings,WR,2000,Furman,0,0
5377,Destry Wright,RB,2000,Jackson State,1.37,1.31
5378,Dez White,WR,2000,Georgia Tech,9.98,9.72
5379,Dhani Jones,LB,2000,Michigan,8.94,8.21
5380,Doug Chapman,RB,2000,Marshall,8.79,8.3
5381,Doug Johnson,QB,2000,Florida,0,0
5382,Drew Haddad,WR,2000,Buffalo,0,0
5383,Dustin Lyman,TE,2000,Wake Forest,9.92,9.8
5384,Dwan Epps,LB,2000,Texas Southern,0,0
5385,Dwayne Goodrich,DB,2000,Tennessee,0,0
5386,Dwight Johnson,DT,2000,Baylor,8.51,7.73
5387,Dwyte Smiley,FS,2000,Youngstown State,7.21,4.67
5388,Emanuel Smith,WR,2000,Arkansas,0,0
5389,Eric Chandler,DE,2000,Jackson State,0,0
5390,Eric Johnson,SS,2000,Nebraska,9.3,9.16
5391,Erik Flowers,DE,2000,Arizona State,9.86,9.06
5392,Erik Olson,SS,2000,Colorado State,7.42,7.21
5393,Ernest Grant,DT,2000,Arkansas Pine-Bluff,3.56,3.15
5394,Erron Kinney,TE,2000,Florida,0,0
5395,Ethan Howell,WR,2000,Oklahoma State,7.21,4.82
5396,Eugene McCaslin,LB,2000,Florida,0,0
5397,Frank Chamberlin,LB,2000,Boston College,0,0
5398,Frank Moreau,RB,2000,Louisville,9.62,9.01
5399,Frank Murphy,RB,2000,Kansas State,0,0
5400,Fred Jones,LB,2000,Colorado,4.6,3.38
5401,Fred Robbins,DT,2000,Wake Forest,7.72,6.8
5402,Gari Scott,WR,2000,Michigan State,8.3,5.54
5403,Gary Berry,DB,2000,Ohio State,0,0
5404,Giles Cole,TE,2000,Texas A&M-Kingsville,0,0
5405,Gillis Wilson,DE,2000,Southern,0,0
5406,Giovanni Carmazzi,QB,2000,Hofstra,9.76,9.18
5407,Greg Randall,OT,2000,Michigan State,2.35,1.45
5408,Greg Robinson-Randall,OT,2000,Michigan State,2.35,1.45
5409,Greg Wesley,CB,2000,Arkansas Pine-Bluff,0,0
5410,Hank Poteat,CB,2000,Pittsburgh,9.52,8.56
5411,Ian Gold,LB,2000,Michigan,8.67,7.83
5412,Ike Charlton,CB,2000,Virginia Tech,9.84,9.31
5413,Isaiah Kacyvenski,LB,2000,Harvard,0,0
5414,J.R. Redmond,RB,2000,Arizona State,0,0
5415,Jabari Issa,DE,2000,Washington,4.12,2.27
5416,Jacoby Shepherd,CB,2000,Oklahoma State,8.27,6.23
5417,JaJuan Dawson,WR,2000,Tulane,9.68,8.23
5418,JaJuan Seider,QB,2000,Florida A&M,0,0
5419,Jamal Lewis,RB,2000,Tennessee,0,0
5420,Jamel Smith,LB,2000,Virginia Tech,0.25,0.49
5421,James Cotton,LB,2000,Ohio State,0,0
5422,James Hall,DE,2000,Michigan,3.98,2.44
5423,James Whalen,TE,2000,Kentucky,6.61,3.4
5424,James Williams,WR,2000,Marshall,8.05,5.88
5425,Jarious Jackson,QB,2000,Notre Dame,8.87,7.88
5426,Jason Gavadza,TE,2000,Kent State,9.37,8.32
5427,Jason Thomas,OG,2000,Hampton,8.21,6.58
5428,Jason Webster,CB,2000,Texas A&M,9.25,8.04
5429,Jay Tant,TE,2000,Northwestern,0,0
5430,Jeff Harris,CB,2000,Georgia,7.47,5.67
5431,Jeff Marriott,DT,2000,Missouri,0,0
5432,Jeff Ulbrich,LB,2000,Hawaii,8.47,7.25
5433,Jeno James,OG,2000,Auburn,0.71,1.1
5434,Jeremiah Parker,DE,2000,California,0,0
5435,Jerry DeLoach,DT,2000,California,8.75,8.45
5436,Jerry Johnson,DT,2000,Florida State,7.15,5.77
5437,Jerry Porter,WR,2000,West Virginia,0,0
5438,Joe Hamilton,QB,2000,Georgia Tech,4.67,2.6
5439,JoeDean Davenport,TE,2000,Arkansas,3.89,1.97
5440,Joey Chustz,OT,2000,Louisiana Tech,9.91,9.44
5441,Joey Jamison,WR,2000,Texas Southern,0,0
5442,John Abraham,LB,2000,South Carolina,0,0
5443,John Engelberger,DE,2000,Virginia Tech,9.79,9.27
5444,John Frank,DE,2000,Utah,9.97,9.9
5445,John Hilliard,DT,2000,Mississippi State,0,0
5446,John Jones,TE,2000,Indiana,9.16,8.22
5447,John Keith,DB,2000,Furman,0,0
5448,John Milem,DE,2000,Lenoir-Rhyne,0,0
5449,John Romero,OC,2000,California,0,0
5450,John St. Clair,OC,2000,Virginia,0,0
5451,John St.Clair,OC,2000,Virginia,0,0
5452,Jonathan Gray,OT,2000,Texas Tech,0.37,0.37
5453,Josh Williams,DT,2000,Michigan,9.96,9.62
5454,Julian Peterson,LB,2000,Michigan State,0,0
5455,Junior Ioane,DT,2000,Arizona State,0,0
5456,Justin Fuente,QB,2000,Murray State,1.51,0.75
5457,Kabeer Gbaja-Biamila,DE,2000,San Diego State,9.41,9.17
5458,Kareem Larrimore,CB,2000,West Texas A&M,9.44,7.7
5459,Kaulana Noa,OT,2000,Hawaii,5.73,3.88
5460,Keith Brown,RB,2000,UCLA,6.55,5.79
5461,Keith Bulluck,LB,2000,Syracuse,9.89,9.41
5462,Keith Miller,LB,2000,California,2.94,2.52
5463,Kendrick Clancy,DT,2000,Mississippi,3.81,3.1
5464,Kenoy Kennedy,FS,2000,Arkansas,3.07,2.63
5465,Ketric Sanford,RB,2000,Houston,3.48,2.63
5466,Kevin Feterik,QB,2000,Brigham Young,5.47,2.72
5467,Kevin Houser,TE,2000,Ohio State,0,0
5468,Kevin McDougal,RB,2000,Colorado State,6.63,5.4
5469,Kiwaukee Thomas,DB,2000,Georgia Southern,0,0
5470,Kualana Noa,OT,2000,Hawaii,5.73,3.88
5471,Kurth Connell,OT,2000,Washington,6.98,4.64
5472,Kwame Cavil,WR,2000,Texas,0,0
5473,Kyle Allamon,TE,2000,Texas Tech,4.98,2.57
5474,Lamar Chapman,DB,2000,Kansas State,0,0
5475,Lamar Grant,CB,2000,Duke,3.71,2.06
5476,Larry Foster,WR,2000,Louisiana State,8.87,6.97
5477,LaVar Arrington,LB,2000,Penn State,0,0
5478,Laveranues Coles,WR,2000,Florida State,7.9,5.98
5479,Leander Jordan,OT,2000,Indiana,5.76,4.07
5480,Leif Larsen,DT,2000,Texas-El Paso,9.86,9.49
5481,Leonardo Carson,DT,2000,Auburn,5.52,4.62
5482,Leroy Fields,WR,2000,Jackson State,0,0
5483,Lester Towns,LB,2000,Washington,0,0
5484,Lewis Kelly,OG,2000,South Carolina State,0,0
5485,Lewis Sanders,CB,2000,Maryland,8.11,5.98
5486,Lloyd Harrison,CB,2000,North Carolina State,8.88,7.52
5487,Mac Tuiaea,DT,2000,Washington,7.44,6.16
5488,Manuia Savea,OG,2000,Arizona,2.63,2.54
5489,Mao Tosi,DT,2000,Idaho,6.3,5.59
5490,Marc Bulger,QB,2000,West Virginia,6.27,3.81
5491,Marcus Bell,LB,2000,Arizona,6.57,4.85
5492,Marcus Knight,WR,2000,Michigan,0.99,0.55
5493,Marcus Washington,DE,2000,Auburn,0,0
5494,Mareno Philyaw,WR,2000,Troy,9.04,7.99
5495,Mario Edwards,CB,2000,Florida State,5.6,3.95
5496,Mark Baniewicz,OT,2000,Syracuse,7.38,5.09
5497,Mark Roman,DB,2000,Louisiana State,0,0
5498,Mark Simoneau,LB,2000,Kansas State,9.53,9.05
5499,Mark Tauscher,OG,2000,Wisconsin,3.46,3.75
5500,Marlion Jackson,RB,2000,Saginaw Valley State,9.59,9.09
5501,Marvel Smith,OT,2000,Arizona State,7.59,5.59
5502,Matt Bowen,SS,2000,Iowa,7.5,7.13
5503,Matt Johnson,OG,2000,Brigham Young,4.21,4.41
5504,Matt ONeal,OC,2000,Oklahoma,5.94,4.89
5505,Michael Boireau,DE,2000,Miami,3.74,2.5
5506,Michael Green,DB,2000,Northwestern State,0,0
5507,Michael Hawthorne,DB,2000,Purdue,0,0
5508,Michael Moore,OG,2000,Troy,2.04,2.4
5509,Michael Thompson,OT,2000,Tennessee State,6.1,3.49
5510,Michael Wiley,RB,2000,Ohio State,0,0
5511,Mike Anderson,RB,2000,Utah,0,0
5512,Mike Brown,CB,2000,Nebraska,9.04,7.02
5513,Mike Derouselle,DT,2000,Houston,4.06,3.96
5514,Mike Green,RB,2000,Houston,3.4,3.2
5515,Mike Malano,OC,2000,San Diego State,0,0
5516,Mondriel Fulcher,FB,2000,Miami,3.93,3.48
5517,Morgan Kane,RB,2000,Wake Forest,8.6,8.26
5518,Muneer Moore,WR,2000,Richmond,9.79,8.86
5519,Na'il Diggs,LB,2000,Ohio State,0,0
5520,Nate Webster,LB,2000,Miami,0,0
5521,Neil Rackers,PK,2000,Illinois,0,0
5522,Noel LaMontagne,OG,2000,Virginia,0,0
5523,Orantes Grant,LB,2000,Georgia,0,0
5524,Pat Dennis,CB,2000,Louisiana Monroe,0,0
5525,Patrick Pass,RB,2000,Georgia,0,0
5526,Paul Edinger,PK,2000,Michigan State,0,0
5527,Paul Smith,RB,2000,Texas-El Paso,0,0
5528,Peter Sirmon,LB,2000,Oregon,9.19,7.71
5529,Peter Warrick,WR,2000,Florida State,0,0
5530,Phillip Rogers,RB,2000,Georgia Tech,7.73,6.77
5531,Plaxico Burress,WR,2000,Michigan State,0,0
5532,Quincy Sanders,DB,2000,UNLV,0,0
5533,Quinton Reese,DE,2000,Auburn,1.42,1.08
5534,Quinton Spotwood,WR,2000,Syracuse,0,0
5535,R. Jay Soward,WR,2000,Southern California,8.85,7.95
5536,Ralph Brown,CB,2000,Nebraska,0,0
5537,Rameel Connor,DE,2000,Illinois,7.68,6.14
5538,Rashard Anderson,CB,2000,Jackson State,8.45,6.61
5539,Rashidi Barnes,FS,2000,Colorado,5.86,4.2
5540,Rashon Spikes,RB,2000,North Carolina State,3.29,2.28
5541,Raynoch Thompson,LB,2000,Tennessee,0,0
5542,Reggie Austin,CB,2000,Wake Forest,6.61,4.55
5543,Renard Cox,CB,2000,Maryland,4.56,2.83
5544,Reuben Droughns,RB,2000,Oregon,4.88,3.17
5545,Richard Mercier,OG,2000,Miami,3.63,3.49
5546,Richard Seals,DT,2000,Utah,6.73,6.09
5547,Rob Meier,DE,2000,Washington State,7.58,5.31
5548,Rob Morris,LB,2000,Brigham Young,8.62,7.97
5549,Rob Renes,DT,2000,Michigan,0,0
5550,Rob Riti,OC,2000,Missouri,7.97,6.27
5551,Robaire Smith,DE,2000,Michigan State,0,0
5552,Robert Bean,CB,2000,Mississippi State,7.28,5.25
5553,Robert Brannon,DT,2000,Iowa State,5.77,5.34
5554,Rodregis Brooks,DB,2000,Alabama Birmingham,0,0
5555,Roger Roesler,OG,2000,Texas,7.92,7.07
5556,Rogers Beckett,FS,2000,Marshall,8.29,7.23
5557,Ron Dayne,RB,2000,Wisconsin,0,0
5558,Ron Dixon,WR,2000,Lambuth,0,0
5559,Ron Dugans,WR,2000,Florida State,0,0
5560,Ron Moore,DT,2000,Northwestern Oklahoma,0,0
5561,Rondell Mealey,RB,2000,Louisiana State,7.15,6.41
5562,Ronney Jenkins,RB,2000,Northern Arizona,5.7,3.92
5563,Ryan Johanningmeier,OG,2000,Colorado,8.92,8.45
5564,Ryan Tujague,OG,2000,Washington State,6.04,5.26
5565,Sammy Morris,RB,2000,Texas Tech,9.34,8.83
5566,Scottie Montgomery,WR,2000,Duke,8.26,5.62
5567,Sean Keenan,QB,2000,Williams,2.55,0.98
5568,Sean Key,FS,2000,Florida State,4,2.6
5569,Sebastian Janikowski,PK,2000,Florida State,0,0
5570,Sedrick Curry,CB,2000,Texas A&M,9.95,9.81
5571,Sekou Sanyika,LB,2000,California,7.31,5.74
5572,Semisi Heimuli,OG,2000,Texas A&M,4.42,4.39
5573,Shane Lechler,PK,2000,Texas A&M,0,0
5574,Shannon Taylor,LB,2000,Virginia,0,0
5575,Shaun Alexander,RB,2000,Alabama,0,0
5576,Shaun Ellis,DE,2000,Tennessee,0,0
5577,Sherrod Gideon,WR,2000,Southern Mississippi,0,0
5578,Shyrone Stith,RB,2000,Virginia Tech,2.36,1.71
5579,Spergon Wynn,QB,2000,Texas State,7.55,5.35
5580,Steve Warren,DT,2000,Nebraska,8.54,7.78
5581,Stockar McDougle,OT,2000,Oklahoma,0,0
5582,Sylvester Morris,WR,2000,Jackson State,8.72,6.69
5583,T.J. Slaughter,LB,2000,Southern Mississippi,6.91,5.36
5584,Tee Martin,QB,2000,Tennessee,9.81,9.31
