Year,Fantasy_Points,PassingYards,PassingTDs,Ints,RushAttempts,RushYards,Fumbles,RushTDs,PassingSkill,RunningSkill
2022-01-01,352,4282,30,11,68,366,4,1,High Volume,RegularQB
2023-01-01,262,3624,20,9,37,155,3,1,Game Manager,RegularQB
2021-01-01,1,135,0,2,3,6,0,0,Backup,RegularQB
2021-01-01,-1,25,0,1,0,0,0,0,Backup,RegularQB
2022-01-01,0,59,0,1,0,0,0,0,Backup,RegularQB
2019-01-01,244,2942,18,6,56,228,5,4,Game Manager,RegularQB
2020-01-01,18,17,0,0,17,19,0,3,Backup,RegularQB
2021-01-01,78,1283,5,4,19,70,3,1,Backup,RegularQB
2022-01-01,187,2608,12,6,49,243,4,2,Did not play many games,RegularQB
2023-01-01,27,224,3,0,3,19,0,0,Backup,RegularQB
2023-01-01,163,1936,12,7,27,127,0,3,Backup,RegularQB
2021-01-01,13,210,1,3,8,65,1,0,Backup,RegularQB
2020-01-01,31,624,2,6,1,13,0,1,Backup,RegularQB
2020-01-01,113,1061,6,4,63,354,2,3,Backup,RegularQB
2021-01-01,332,3144,16,9,139,784,2,10,Game Manager,Dual Threat
2022-01-01,412,3701,22,6,165,760,2,13,Game Manager,Dual Threat
2023-01-01,393,3858,23,15,157,605,5,15,Solid,Dual Threat
2019-01-01,365,5109,33,30,59,250,5,1,Not Very Good,RegularQB
2020-01-01,2,75,0,0,8,-6,0,0,Backup,RegularQB
2021-01-01,141,1170,14,3,32,166,1,1,Backup,RegularQB
2022-01-01,49,858,4,5,5,16,0,0,Backup,RegularQB
2023-01-01,15,264,2,3,5,-6,0,0,Backup,RegularQB
2019-01-01,284,4638,22,16,33,40,5,2,High Volume,RegularQB
2020-01-01,275,3952,20,13,51,99,4,4,Solid,RegularQB
2021-01-01,227,3245,19,8,17,87,6,0,Game Manager,RegularQB
2022-01-01,334,4438,29,7,29,73,4,0,Really Good,RegularQB
2023-01-01,344,4575,30,12,32,21,4,2,High Volume,RegularQB
2023-01-01,2,168,0,1,6,14,2,0,Backup,RegularQB
2019-01-01,-2,14,0,1,2,-2,0,0,Backup,RegularQB
2020-01-01,14,256,2,3,7,7,0,0,Backup,RegularQB
2022-01-01,49,656,4,3,14,84,1,0,Backup,RegularQB
2023-01-01,28,496,2,1,9,8,0,0,Backup,RegularQB
2019-01-01,63,685,4,4,22,151,0,1,Backup,RegularQB
